,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
3033,9,EvenDimpledInsect,foil,,,,1653420225,EvenDimpledInsect,parisfoil2022,foil,male,Alex Tofalides,Maximilien Chastanet,3,3,right,https://clips.fencingdatabase.com/parisfoil2022/EvenDimpledInsect.mp4
3034,10,GeneralLastingGoldenretriever,foil,neither,middle,,1653432408,GeneralLastingGoldenretriever,tauberbischofsheimfoil2022,foil,female,Coralie Brot,Chen Qingyuan,8,15,right,https://clips.fencingdatabase.com/tauberbischofsheimfoil2022/GeneralLastingGoldenretriever.mp4
3035,11,CharmingTautArachnid,foil,fotl,fotr_half,,1653432540,CharmingTautArachnid,qatarfoil2021,foil,,Arianna Errigo,Sabrina Cho,5,4,right,https://clips.fencingdatabase.com/qatarfoil2021/CharmingTautArachnid.mp4
3036,12,AccomplishedColorfulInchworm,foil,fotl,middle,,1653432687,AccomplishedColorfulInchworm,anaheimfoil2018,foil,,Abe Hiromi,Ysaora Thibus,5,13,right,https://clips.fencingdatabase.com/anaheimfoil2018/AccomplishedColorfulInchworm.mp4
3037,13,FlusteredCapitalBuffalo,foil,fotl,fotr_half,,1653481083,FlusteredCapitalBuffalo,anaheimfoil2019,foil,,Alex Tofalides,Tommaso Marini,6,10,left,https://clips.fencingdatabase.com/anaheimfoil2019/FlusteredCapitalBuffalo.mp4
3038,14,PaleRipeGalapagospenguin,foil,fotl,fotl_half,,1653481328,PaleRipeGalapagospenguin,kazanfoil2020,foil,female,Mohamed Aida,Jessica Zi Jia Guo,4,5,left,https://clips.fencingdatabase.com/kazanfoil2020/PaleRipeGalapagospenguin.mp4
3039,15,DimwittedViciousBittern,foil,fotl,fotr_half,,1653481476,DimwittedViciousBittern,qatarfoil2021,foil,,Alexandre Sido,Geoffrey Tourette,3,4,left,https://clips.fencingdatabase.com/qatarfoil2021/DimwittedViciousBittern.mp4
3040,16,IncredibleMessyAmericancrayfish,foil,neither,middle,,1653490449,IncredibleMessyAmericancrayfish,tokyoolympics2020,foil,female,Martyna Jelinska,Inna Deriglazova,5,7,right,https://clips.fencingdatabase.com/tokyoolympics2020/IncredibleMessyAmericancrayfish.mp4
3041,21,LinearFortunateBlackrussianterrier,foil,fotr,fotr_half,,1653551864,LinearFortunateBlackrussianterrier,tokyoolympics2020,foil,female,Saskia Loretta Van   Erven   Garcia,Adelina Zagidullina,8,15,right,https://clips.fencingdatabase.com/tokyoolympics2020/LinearFortunateBlackrussianterrier.mp4
3042,23,ThirdIdealisticCrayfish,foil,fotl,fotr_half,,1653558570,ThirdIdealisticCrayfish,kazanfoil2020,foil,female,Shi Yue,Leandra Behr,11,2,double,https://clips.fencingdatabase.com/kazanfoil2020/ThirdIdealisticCrayfish.mp4
3043,24,BackImportantBufeo,foil,fotr,fotl_half,,1653564404,BackImportantBufeo,tokyoolympics2020,foil,male,Peter Joppich,Alexander Massialas,4,5,left,https://clips.fencingdatabase.com/tokyoolympics2020/BackImportantBufeo.mp4
3044,25,SphericalDeafeningDove,foil,fotl,fotr_half,,1653564566,SphericalDeafeningDove,turinfoil2020,foil,,Ysaora Thibus,Lee Kiefer,2,0,left,https://clips.fencingdatabase.com/turinfoil2020/SphericalDeafeningDove.mp4
