,stats_id,weapon,initiated,strip_location,body_location,created_date
49,TerrificRewardingBassethound,foil,fotl,fotr_half,,1668030996
50,BackGentleAllensbigearedbat,foil,fotl,fotr_half,,1668031250
51,BackGentleAllensbigearedbat,foil,fotl,fotr_half,,1668031252
52,ReasonableFairGrassspider,foil,neither,,,1668031566
53,BackGentleAllensbigearedbat,foil,fotl,fotr_half,,1668031753
54,GroundedLeafyHammerheadbird,foil,fotr,middle,,1668036271
55,PopularPeacefulAlligatorgar,foil,fotr,middle,,1668048871
56,ScientificBlackandwhiteKronosaurus,foil,fotl,fotr_warning_box,,1668049105
57,ZealousGlisteningCentipede,foil,neither,,,1668049362
58,TanPaleDeer,foil,fotr,middle,,1668049563
59,FemaleUnrealisticBetafish,foil,fotl,middle,,1668049793
60,EvergreenMelodicKitten,foil,fotr,fotl_half,,1668050051
61,CheerfulWelldocumentedGrackle,foil,,,,1668070199
62,SpitefulFancyAmoeba,foil,,,,1668072549
63,ArcticSillyBluebreastedkookaburra,foil,fotr,middle,,1668106544
64,CraftyFatherlyArcticseal,foil,fotl,fotl_half,,1668109150
65,WeeUnselfishBoto,foil,fotr,middle,,1668117047
66,RawOnlyBagworm,foil,fotr,fotl_warning_box,,1668117279
67,AgreeableHatefulJumpingbean,foil,fotl,fotr_warning_box,,1668119164
68,WanForthrightEeve,foil,fotr,middle,,1668119423
69,InsecureDeterminedKob,foil,fotr,fotl_half,,1668119617
70,FatherlyQuaintCommongonolek,foil,fotr,fotl_half,,1668119835
71,BabyishWeeklyDunlin,foil,fotr,middle,,1668129799
72,AnchoredBeautifulHorseshoecrab,foil,fotl,middle,,1668131112
73,MajorDecentBrahmanbull,foil,fotl,middle,,1668134454
74,TanVapidAmericantoad,foil,,,,1668135153
75,LargeIncomparableBighornedsheep,foil,fotr,fotl_warning_box,,1668135374
76,LividExcitableDikkops,foil,,,,1668151790
77,UntriedShamefulDuckling,foil,,,,1668160100
78,ImperturbableScratchyAcornwoodpecker,foil,,,,1668160375
79,ColdJadedCapeghostfrog,foil,,,,1668160527
80,BlackCanineGiraffe,sabre,fotl,middle,torso,1668167977
81,ConfusedHauntingCobra,foil,fotr,fotl_half,,1668193590
82,UnsteadyFamousBluet,foil,fotr,fotl_warning_box,,1668195231
83,OrderlyDeafeningApisdorsatalaboriosa,foil,fotr,fotl_half,,1668195394
84,DisgustingMeatyKoala,foil,fotr,middle,,1668204605
85,GleefulNearAmericangoldfinch,foil,,,,1668204913
86,VengefulWealthyGoitered,foil,fotl,middle,,1668205028
87,ReasonableUntriedArkshell,foil,fotl,middle,,1668205547
88,ImpeccableGoodnaturedGharial,foil,,,,1668212907
89,SparseFluffyArkshell,foil,,,,1668213047
90,SparseFluffyArkshell,foil,,,,1668213063
91,PleasedSlightHarrier,foil,,,,1668213174
92,DelectableAnguishedEnglishpointer,foil,,,,1668217421
93,WeeUnselfishBoto,foil,,,,1668217544
94,AccurateQuerulousBluefintuna,foil,fotr,fotr_half,,1668219145
95,ScarceDifferentIvorybackedwoodswallow,epee,fotl,fotl_half,torso,1668235921
96,BiodegradableUnawareBandicoot,epee,fotr,fotl_half,torso,1668236035
97,LazyQueasyArcticduck,sabre,fotl,middle,head,1668236069
98,PartialAcclaimedAsianconstablebutterfly,foil,fotr,fotl_half,,1668244009
99,LastShowyAzurewingedmagpie,foil,fotr,fotr_half,,1668250826
0,LikableDangerousArgali,foil,fotr,fotr_warning_box,,1668251245
1,FriendlyDearAlpinegoat,foil,fotl,middle,,1668262514
2,FriendlyDearAlpinegoat,foil,fotl,middle,,1668262515
3,ScalyFearfulLeech,foil,fotr,middle,,1668263826
4,AbleUnrealisticDiscus,foil,neither,,,1668265323
5,BoringDemandingBlueshark,foil,fotl,middle,,1668266531
