,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
4803,87,BrokenTenderEquestrian,sabre,fotr,middle,front_arm,1699813488,BrokenTenderEquestrian,algierssabre2022,sabre,female,Despina Georgiadou,Zhuang Chenyi,6,4,left,https://clips.fencingdatabase.com/algierssabre2022/BrokenTenderEquestrian.mp4
4804,88,GlamorousQueasyAdder,sabre,fotl,middle,torso,1699813530,GlamorousQueasyAdder,algierssabre2022,sabre,female,Theodora Gkountoura,Mukae Ayaka,13,14,left,https://clips.fencingdatabase.com/algierssabre2022/GlamorousQueasyAdder.mp4
4805,89,DependableFantasticKookaburra,sabre,fotl,middle,torso,1699813618,DependableFantasticKookaburra,algierssabre2022,sabre,female,Sara Balzer,Rebecca Gargano,13,10,left,https://clips.fencingdatabase.com/algierssabre2022/DependableFantasticKookaburra.mp4
4806,90,SparklingGraveChrysalis,sabre,fotl,middle,torso,1699813688,SparklingGraveChrysalis,algierssabre2022,sabre,female,Yoon Jisu,Nisanur Erbil,12,13,right,https://clips.fencingdatabase.com/algierssabre2022/SparklingGraveChrysalis.mp4
4807,91,HairyExcitableDeinonychus,sabre,fotl,fotr_half,torso,1699813811,HairyExcitableDeinonychus,algierssabre2022,sabre,female,Saoussen Boudiaf,Pusztai Liza,12,7,left,https://clips.fencingdatabase.com/algierssabre2022/HairyExcitableDeinonychus.mp4
4808,92,EthicalCarelessBarnowl,sabre,fotl,fotr_warning_box,torso,1699813900,EthicalCarelessBarnowl,algierssabre2022,sabre,female,Theodora Gkountoura,Mukae Ayaka,11,10,right,https://clips.fencingdatabase.com/algierssabre2022/EthicalCarelessBarnowl.mp4
4809,93,UnacceptableFatIvorybilledwoodpecker,sabre,fotr,middle,torso,1699813968,UnacceptableFatIvorybilledwoodpecker,algierssabre2022,sabre,female,Zhuang Chenyi,Mathilde Mouroux,6,11,left,https://clips.fencingdatabase.com/algierssabre2022/UnacceptableFatIvorybilledwoodpecker.mp4
4810,94,FeminineAmazingDotterel,sabre,fotr,fotl_warning_box,front_arm,1699814024,FeminineAmazingDotterel,algierssabre2022,sabre,female,Despina Georgiadou,Claudia Rotili,13,5,left,https://clips.fencingdatabase.com/algierssabre2022/FeminineAmazingDotterel.mp4
4811,95,AgonizingBelovedAmericanlobster,sabre,fotr,middle,front_arm,1699814182,AgonizingBelovedAmericanlobster,algierssabre2022,sabre,female,Sara Balzer,Martina Criscio,13,6,right,https://clips.fencingdatabase.com/algierssabre2022/AgonizingBelovedAmericanlobster.mp4
4812,96,ColorlessPreciousFruitfly,sabre,fotr,middle,hand,1699814232,ColorlessPreciousFruitfly,algierssabre2022,sabre,female,Theodora Gkountoura,Seo Jiyeon,4,2,left,https://clips.fencingdatabase.com/algierssabre2022/ColorlessPreciousFruitfly.mp4
4813,0,DetailedHardAllensbigearedbat,sabre,fotr,middle,head,1700118520,DetailedHardAllensbigearedbat,budapestsabre2021,sabre,,Veniamin Reshetnikov,Nada Hafez,8,13,left,https://clips.fencingdatabase.com/budapestsabre2021/DetailedHardAllensbigearedbat.mp4
4816,3,DistantSparklingAlaskajingle,sabre,fotr,fotr_half,front_arm,1700118645,DistantSparklingAlaskajingle,montrealsabre2020,sabre,male,Arne De   Ridder,Daryl Homer,6,13,left,https://clips.fencingdatabase.com/montrealsabre2020/DistantSparklingAlaskajingle.mp4
4818,6,ForsakenFaintBlesbok,sabre,fotr,middle,front_arm,1700132105,ForsakenFaintBlesbok,eurochamps2022,sabre,female,Lika Jijieishvili,Araceli Navarro,7,7,right,https://clips.fencingdatabase.com/eurochamps2022/ForsakenFaintBlesbok.mp4
4822,10,LateIllCrownofthornsstarfish,sabre,fotr,middle,hand,1700428362,LateIllCrownofthornsstarfish,algierssabre2022,sabre,female,Theodora Gkountoura,Saoussen Boudiaf,4,4,left,https://clips.fencingdatabase.com/algierssabre2022/LateIllCrownofthornsstarfish.mp4
4823,11,AbsoluteAggravatingDromedary,sabre,fotl,middle,torso,1700428402,AbsoluteAggravatingDromedary,algierssabre2022,sabre,female,Paola Pliego,Yoon Jisu,8,5,left,https://clips.fencingdatabase.com/algierssabre2022/AbsoluteAggravatingDromedary.mp4
4824,12,ShimmeringAgileAsiaticlesserfreshwaterclam,sabre,fotr,middle,hand,1700428465,ShimmeringAgileAsiaticlesserfreshwaterclam,algierssabre2022,sabre,female,Martina Criscio,Olga Kharlan,6,5,left,https://clips.fencingdatabase.com/algierssabre2022/ShimmeringAgileAsiaticlesserfreshwaterclam.mp4
4825,13,EllipticalCluelessIndianspinyloach,sabre,fotr,middle,front_arm,1700428527,EllipticalCluelessIndianspinyloach,algierssabre2022,sabre,female,Despina Georgiadou,Claudia Rotili,1,0,left,https://clips.fencingdatabase.com/algierssabre2022/EllipticalCluelessIndianspinyloach.mp4
