,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,IllClearcutHawk,heidenheim2017,epee,male,Martin Rubes,Kano Koki,3,3,right,https://clips.fencingdatabase.com/heidenheim2017/IllClearcutHawk.mp4
0,IllfatedOrangeBeagle,heidenheim2018,epee,male,Bogdan Nikishin,Edoardo Munzone,1,2,right,https://clips.fencingdatabase.com/heidenheim2018/IllfatedOrangeBeagle.mp4
0,OrnateFelineLeopardseal,barcelona2020,epee,female,Alexandra Louis   Marie,Katharine Holmes,4,3,double,https://clips.fencingdatabase.com/barcelona2020/OrnateFelineLeopardseal.mp4
0,ElasticDefiantAmazondolphin,qatar2020,epee,,Berta Daniel,Siklosi Gergely,5,6,right,https://clips.fencingdatabase.com/qatar2020/ElasticDefiantAmazondolphin.mp4
0,FreeRepentantAbyssiniancat,doha2019,epee,,Bogdan Nikishin,Igor Reizlin,9,9,right,https://clips.fencingdatabase.com/doha2019/FreeRepentantAbyssiniancat.mp4
0,FrayedPracticalAmphibian,cancunsabre2017,sabre,female,Anna Bashta,Emura Misaki,10,15,right,https://clips.fencingdatabase.com/cancunsabre2017/FrayedPracticalAmphibian.mp4
0,ThreadbareThirdIggypops,cancunsabre2017,sabre,female,Arianna Errigo,Takashima Risa,3,2,right,https://clips.fencingdatabase.com/cancunsabre2017/ThreadbareThirdIggypops.mp4
0,MetallicHighAlbertosaurus,barcelona2019,epee,female,Nathalie Moellhausen,Aliya Luty,8,6,double,https://clips.fencingdatabase.com/barcelona2019/MetallicHighAlbertosaurus.mp4
0,MetallicHighAlbertosaurus,barcelona2019,epee,female,Nathalie Moellhausen,Aliya Luty,8,6,double,https://clips.fencingdatabase.com/barcelona2019/MetallicHighAlbertosaurus.mp4
0,WeirdWaryCoyote,tallinn2019,epee,female,Song Sera,Ana Maria Popescu,7,13,right,https://clips.fencingdatabase.com/tallinn2019/WeirdWaryCoyote.mp4
0,PoliticalQuarrelsomeAnnashummingbird,bern2018,epee,male,Georgiy Bruev,Patrick Jorgensen,6,13,right,https://clips.fencingdatabase.com/bern2018/PoliticalQuarrelsomeAnnashummingbird.mp4
0,ImmenseReliableAsp,budapest2019,epee,,Pauline Brunner,Coraline Vitalis,3,5,left,https://clips.fencingdatabase.com/budapest2019/ImmenseReliableAsp.mp4
0,FailingPassionateGadwall,budapestsabre2019,sabre,male,Joseph Polossifakis,Fabien Ballorca,6,7,right,https://clips.fencingdatabase.com/budapestsabre2019/FailingPassionateGadwall.mp4
0,GlitteringFriendlyGannet,budapestsabre2019,sabre,male,Iulian Teodosiu,James Honeybone,7,12,right,https://clips.fencingdatabase.com/budapestsabre2019/GlitteringFriendlyGannet.mp4
0,MadeupHilariousGar,doha2019,epee,,Bogdan Nikishin,Hoi Sun Fong,12,8,right,https://clips.fencingdatabase.com/doha2019/MadeupHilariousGar.mp4
0,SpicyFearfulGar,cancunsabre2017,sabre,female,Yoana Ilieva,Edith Johnson,9,11,left,https://clips.fencingdatabase.com/cancunsabre2017/SpicyFearfulGar.mp4
0,MildFrightenedAssassinbug,cali2019,epee,,Hector Maisonet,Nikolai Novosjolov,5,6,left,https://clips.fencingdatabase.com/cali2019/MildFrightenedAssassinbug.mp4
0,FearfulClearBeagle,cali2019,epee,,Davide Di   Veroli,Reynier Henriquez   Ortiz,7,6,double,https://clips.fencingdatabase.com/cali2019/FearfulClearBeagle.mp4
0,ResponsibleRecklessBushbaby,barcelona2019,epee,female,Song Sera,Eleonora De   Marchi,12,8,right,https://clips.fencingdatabase.com/barcelona2019/ResponsibleRecklessBushbaby.mp4
0,SpryLegitimateInvisiblerail,cali2019,epee,,Sun Yiwen,Ana Maria Popescu,0,1,double,https://clips.fencingdatabase.com/cali2019/SpryLegitimateInvisiblerail.mp4
0,PeacefulDimBarb,qatar2020,epee,,Andrea Santarelli,Alexandre Bardenet,9,11,double,https://clips.fencingdatabase.com/qatar2020/PeacefulDimBarb.mp4
0,FluidPointedIridescentshark,barcelona2019,epee,female,Kelley Hurley,Aleksandra Zamachowska,3,4,right,https://clips.fencingdatabase.com/barcelona2019/FluidPointedIridescentshark.mp4
0,MilkyNeighboringGreathornedowl,budapestwch2019,epee,male,Sergey Bida,Uyama Satoru,5,6,right,https://clips.fencingdatabase.com/budapestwch2019/MilkyNeighboringGreathornedowl.mp4
0,NeglectedSpanishCavy,heidenheim2019,epee,male,Kano Koki,Grabiel Lugo,6,2,left,https://clips.fencingdatabase.com/heidenheim2019/NeglectedSpanishCavy.mp4
